Catalyst ID,Formula,Bulk Material ID,Element,Adsorbate Smiles,Adsorbate IUPAC Formula,Adsorption Energy,h,k,l,Surface Shift
random2372905,Ni₂₄H₃C₂,mp-1094136,Ni,*CHCH2,C2 H3,-2.863,1,1,0.0,0.25
random1867915,Ni₄₈HN₂,mp-1014111,Ni,*N*NH,N2 H1,-0.837,2,2,1.0,0.019
random2070538,Au₂₄N,mp-1008634,Au,*N2,N2,-0.009,1,1,0.0,0.25
random2198215,Cu₇₂O,mp-1120774,Cu,*O,O1,0.488,2,-1,2.0,0.0
random458621,Cu₇₂H₃(CO)₂,mp-1120774,Cu,*CHOCHOH,C2 H3 O2,-1.686,1,1,1.0,0.166
random1977453,Ni₂₄H₃C,mp-1014111,Ni,*CH3,C1 H3,-2.343,1,1,0.0,0.25
random893885,Cu₆₄H₃NO,mp-30,Cu,*OHNH2,N1 H3 O1,1.548,1,0,0.0,0.25
random655560,Cu₄₈CN,mp-989782,Cu,*CN,C1 N1,-0.811,1,1,0.0,0.25
random141572,Cu₉₆H,mp-989695,Cu,*H,H1,0.013,2,2,1.0,0.031
random887824,Cu₉₆H₃CO,mp-1120774,Cu,*OCH3,C1 H3 O1,-0.872,1,0,1.0,0.5
random1244667,H₂Au₄₈C,mp-1008634,Au,*CH2,C1 H2,-0.495,1,1,1.0,0.0
random1632559,Ag₅₄H₂O,mp-989737,Ag,*OH2,H2 O1,-0.058,2,0,-1.0,0.25
random1456309,Ni₁₆HCO,mp-1014111,Ni,*CHO*CHO,C2 H2 O2,-2.314,1,0,1.0,0.5
random2261695,Cu₃₂HCO,mp-30,Cu,*CHO*CHO,C2 H2 O2,-1.403,1,0,0.0,0.25
random1446811,Ni₇₂H₃NO,mp-23,Ni,*OHNH2,N1 H3 O1,-1.243,2,1,0.0,0.083
random1582205,Cu₆₄H₃C₂O,mp-989782,Cu,*COCH3,C2 H3 O1,-2.168,2,0,1.0,0.0
random1450428,Ni₇₂H(CO)₂,mp-10257,Ni,*COCHO,C2 H1 O2,-1.033,2,1,0.0,0.167
random1824837,Cu₁₀₈H₃C₂O,mp-1120774,Cu,*CCH2OH,C2 H3 O1,-1.424,2,1,0.0,0.056
random185689,HAu₆₀C,mp-81,Au,*CH,C1 H1,0.54,2,2,1.0,0.05
random889879,HPt₃₀C,mp-126,Pt,*CCH2,C2 H2,-2.791,2,2,1.0,0.05
random1022490,Cu₂₄HCO,mp-989695,Cu,*COHCHO,C2 H2 O2,-0.797,1,1,1.0,0.062
random476104,Cu₆₄N₂O,mp-989695,Cu,*N*NO,N2 O1,3.429,1,0,0.0,0.5
random1526239,H(Pt₃₆C)₂,mp-126,Pt,*CCH,C2 H1,-2.457,2,1,0.0,0.083
random1490738,Ni₆₄HN₂O,mp-1014111,Ni,*NONH,N2 H1 O1,1.52,2,0,1.0,0.5
random720019,Cu₆₄H₃C₂,mp-989695,Cu,*CCH3,C2 H3,-2.198,1,0,0.0,0.5
random1013799,Cu₇₂C₂O,mp-1010136,Cu,*CCO,C2 O1,-1.45,2,1,0.0,0.083
random518214,Ni₇₂H₂N₂O,mp-1056486,Ni,*ONNH2,N2 H2 O1,0.857,2,1,0.0,0.083
random1156435,Cu₆₄NO,mp-1010136,Cu,*NO,N1 O1,2.619,1,1,0.0,0.25
random684843,Ni₃₆HCO,mp-10257,Ni,*COCH2O,C2 H2 O2,-1.913,2,1,1.0,0.167
random874544,Ni₆₄H₅C₂,mp-10257,Ni,*CH2CH3,C2 H5,-4.203,2,0,1.0,0.75
random909302,H₃Au₃₆C,mp-1008634,Au,*CH3,C1 H3,-1.503,1,0,0.0,0.0
random2322511,Cu₇₂H₃C,mp-1120774,Cu,*CH3,C1 H3,-1.777,1,1,1.0,0.0
random1701464,Ni₂₄H₃C,mp-1014111,Ni,*CH3,C1 H3,-2.34,1,1,1.0,0.0
